name,overall,foundation,extinct,country,stadium_name,stadium_size,coord_lat,coord_long,color_primary,color_secondary,color_third,rivals
Arizona Diamondbacks,50.0,0,-1,United States,Chase Field,48686,0,0,Colors.black,Colors.red,Colors.transparent,[]
Atlanta Braves,50.0,0,-1,United States,Truist Park,41084,0,0,Colors.red,Colors.black,Colors.transparent,[]
Baltimore Orioles,50.0,0,-1,United States,Oriole Park,45971,0,0,Colors.orange,Colors.black,Colors.transparent,[]
Boston Red Sox,50.0,0,-1,United States,Fenway Park,37755,0,0,Colors.red,Colors.white,Colors.transparent,[]
Chicago Cubs,50.0,0,-1,United States,Wrigley Field,41649,0,0,Colors.blue,Colors.red,Colors.transparent,[]
Chicago White Sox,50.0,0,-1,United States,Guaranteed Rate Field,40615,0,0,Colors.white,Colors.black,Colors.transparent,[]
Cincinnati Reds,50.0,0,-1,United States,Great American Ball Park,42319,0,0,Colors.red,Colors.white,Colors.transparent,[]
Cleveland Guardians,50.0,0,-1,United States,Progressive Field,34788,0,0,Colors.white,Colors.red,Colors.transparent,[]
Colorado Rockies,50.0,0,-1,United States,Coors Field,50445,0,0,Colors.darkblue,Colors.white,Colors.transparent,[]
Detroit Tigers,50.0,0,-1,United States,Comerica Park,41083,0,0,Colors.darkblue,Colors.white,Colors.transparent,[]
Houston Astros,50.0,0,-1,United States,Minute Maid Park,41168,0,0,Colors.orange,Colors.blue,Colors.transparent,[]
Kansas City Royals,50.0,0,-1,United States,Kauffman Stadium,37903,0,0,Colors.blue,Colors.white,Colors.transparent,[]
Los Angeles Angels,50.0,0,-1,United States,Angel Stadium of Anaheim,45517,0,0,Colors.red,Colors.white,Colors.transparent,[]
Los Angeles Dodgers,50.0,0,-1,United States,Dodger Stadium,56000,0,0,Colors.blue,Colors.white,Colors.transparent,[]
Miami Marlins,50.0,0,-1,United States,Marlins Park,36742,0,0,Colors.blue,Colors.orange,Colors.transparent,[]
Milwaukee Brewers,50.0,0,-1,United States,American Family Field,41900,0,0,Colors.darkblue,Colors.yellow,Colors.transparent,[]
Minnesota Twins,50.0,0,-1,United States,Target Field,38544,0,0,Colors.blue,Colors.red,Colors.transparent,[]
New York Mets,50.0,0,-1,United States,Citi Field,41922,0,0,Colors.orange,Colors.blue,Colors.transparent,[]
New York Yankees,50.0,0,-1,United States,Yankee Stadium,47309,0,0,Colors.white,Colors.black,Colors.transparent,[]
Oakland Athletics,50.0,0,-1,United States,RingCentral Coliseum,46847,0,0,Colors.darkgreen,Colors.yellow,Colors.transparent,[]
Philadelphia Phillies,50.0,0,-1,United States,Citizens Bank Park,42792,0,0,Colors.red,Colors.white,Colors.transparent,[]
Pittsburgh Pirates,50.0,0,-1,United States,PNC Park,38747,0,0,Colors.yellow,Colors.black,Colors.transparent,[]
San Diego Padres,50.0,0,-1,United States,Petco Park,40209,0,0,Colors.black,Colors.white,Colors.transparent,[]
San Francisco Giants,50.0,0,-1,United States,Oracle Park,41915,0,0,Colors.white,Colors.white,Colors.transparent,[]
Seattle Mariners,50.0,0,-1,United States,T-Mobile Park,47929,0,0,Colors.darkblue,Colors.white,Colors.transparent,[]
St. Louis Cardinals,50.0,0,-1,United States,Busch Stadium,45494,0,0,Colors.red,Colors.white,Colors.transparent,[]
Tampa Bay Rays,50.0,0,-1,United States,Tropicana Field,25000,0,0,Colors.darkblue,Colors.white,Colors.transparent,[]
Texas Rangers,50.0,0,-1,United States,Globe Life Field,40300,0,0,Colors.blue,Colors.red,Colors.transparent,[]
Toronto Blue Jays,50.0,0,-1,Canada,Rogers Centre,53506,0,0,Colors.blue,Colors.white,Colors.transparent,[]
Washington Nationals,50.0,0,-1,United States,Nationals Park,41339,0,0,Colors.red,Colors.white,Colors.transparent,[]
