name,abbreviation,overall,foundation,extinct,country,conference,division,stadium_name,stadium_size,coord_lat,coord_long,color_primary,color_secondary,color_third,color_short,rivals
Arizona Cardinals,ARZ,75.0,0,-1,United States,NFC,West,University of Phoenix Stadium,63400,0,0,Colors.red,Colors.white,Colors.transparent,Colors.secondary,[]
Atlanta Falcons,ATL,75.0,0,-1,United States,NFC,South,Mercedes-Benz Stadium,71000,0,0,Colors.red,Colors.black,Colors.white,Colors.secondary,[]
Baltimore Ravens,BAL,75.0,0,-1,United States,AFC,North,M&T Bank Stadium,71008,0,0,Colors.purple,Colors.black,Colors.transparent,Colors.secondary,[]
Buffalo Bills,BUF,75.0,0,-1,United States,AFC,East,Highmark Stadium,71608,0,0,Colors.blue,Colors.red,Colors.transparent,Colors.secondary,[]
Carolina Panthers,CAR,75.0,0,-1,United States,NFC,South,Bank of America Stadium,75525,0,0,Colors.blue,Colors.black,Colors.white,Colors.secondary,[]
Chicago Bears,CHI,75.0,0,-1,United States,NFC,North,Soldier Field,61500,0,0,Colors.darkblue,Colors.orange,Colors.transparent,Colors.secondary,['Green Bay Packers']
Cincinnati Bengals,CIN,75.0,0,-1,United States,AFC,North,Paul Brown Stadium,65515,0,0,Colors.black,Colors.orange,Colors.transparent,Colors.secondary,[]
Cleveland Browns,CLE,75.0,0,-1,United States,AFC,North,FirstEnergy Stadium,67895,0,0,Colors.orange,Colors.brown,Colors.transparent,Colors.secondary,[]
Dallas Cowboys,DAL,75.0,0,-1,United States,NFC,East,AT&T Stadium,80000,0,0,Colors.white,Colors.blue,Colors.transparent,Colors.secondary,[]
Denver Broncos,DEN,75.0,0,-1,United States,AFC,West,Empower Field,76125,0,0,Colors.orange,Colors.blue,Colors.white,Colors.secondary,[]
Detroit Lions,DET,75.0,0,-1,United States,NFC,North,Ford Field,65000,0,0,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,[]
Green Bay Packers,GB,75.0,0,-1,United States,NFC,North,Lambeau Field,81441,0,0,Colors.green,Colors.yellow,Colors.transparent,Colors.secondary,['Chicago Bears']
Houston Texans,HOU,75.0,0,-1,United States,AFC,South,NRG Stadium,72220,0,0,Colors.darkblue,Colors.red,Colors.transparent,Colors.secondary,[]
Indianapolis Colts,IND,75.0,0,-1,United States,AFC,South,Lucas Oil Stadium,62421,0,0,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,[]
Jacksonville Jaguars,JAC,75.0,0,-1,United States,AFC,South,TIAA Bank Field,64428,0,0,Colors.blue,Colors.green,Colors.transparent,Colors.secondary,[]
Kansas City Chiefs,KC,75.0,0,-1,United States,AFC,West,Arrowhead Stadium,76416,0,0,Colors.white,Colors.red,Colors.transparent,Colors.secondary,[]
Las Vegas Raiders,LV,75.0,0,-1,United States,AFC,West,Allegiant Stadium,65000,0,0,Colors.black,Colors.white,Colors.transparent,Colors.secondary,[]
Los Angeles Chargers,LAC,75.0,0,-1,United States,AFC,West,SoFI Stadium,70242,0,0,Colors.blue,Colors.yellow,Colors.white,Colors.secondary,[]
Los Angeles Rams,LAR,75.0,0,-1,United States,NFC,West,SoFI Stadium,70242,0,0,Colors.blue,Colors.yellow,Colors.white,Colors.secondary,[]
Miami Dolphins,MIA,75.0,0,-1,United States,AFC,East,Hard Rock Stadium,65326,0,0,Colors.white,Colors.lightgreen,Colors.orange,Colors.secondary,[]
Minnessota Vikings,MIN,75.0,0,-1,United States,NFC,North,U.S. Bank Stadium,66655,0,0,Colors.purple,Colors.yellow,Colors.transparent,Colors.secondary,[]
New England Patriots,NE,75.0,0,-1,United States,AFC,East,Gillette Stadium,66829,0,0,Colors.white,Colors.blue,Colors.transparent,Colors.secondary,[]
New Orleans Saints,NO,75.0,0,-1,United States,NFC,South,Caesars Superdome,76468,0,0,Colors.black,Colors.gold,Colors.transparent,Colors.secondary,[]
New York Jets,NYJ,75.0,0,-1,United States,AFC,East,MetLife Stadium,82500,0,0,Colors.darkgreen,Colors.white,Colors.transparent,Colors.secondary,[]
New York Giants,NYG,75.0,0,-1,United States,NFC,East,MetLife Stadium,82500,0,0,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,[]
Philadelphia Eagles,PHI,75.0,0,-1,United States,NFC,East,Lincoln Financial Stadium,69176,0,0,Colors.darkgreen,Colors.white,Colors.transparent,Colors.secondary,[]
Pittsburgh Steelers,PIT,75.0,0,-1,United States,AFC,North,Acrisure Stadium,68400,0,0,Colors.yellow,Colors.black,Colors.transparent,Colors.secondary,[]
Seattle Seahawks,SEA,75.0,0,-1,United States,NFC,West,Lumen Field,68740,0,0,Colors.darkblue,Colors.green,Colors.transparent,Colors.secondary,[]
San Francisco 49ers,SF,75.0,0,-1,United States,NFC,West,Levi's Stadium,68500,0,0,Colors.red,Colors.white,Colors.transparent,Colors.secondary,[]
Tampa Bay Buccanners,TB,75.0,0,-1,United States,NFC,South,Raymond James Stadium,65890,0,0,Colors.red,Colors.black,Colors.transparent,Colors.secondary,[]
Tennesse Titans,TEN,75.0,0,-1,United States,AFC,South,Nissan Stadium,69143,0,0,Colors.blue,Colors.lightblue,Colors.transparent,Colors.secondary,[]
Washington Commanders,WAS,75.0,0,-1,United States,NFC,East,FedEx Field,82000,0,0,Colors.red,Colors.yellow,Colors.transparent,Colors.secondary,[]
